abilitet	ability
fasinera	fascinate
fasjisme	fascism
fasjist/fasjistisk	fascist (n/a)
fast	fixed
fastland	mainland
fastning	stronghold
fatijg	fatigue
favör/favöra	favor (n/a)
favor/isera	favor
favoritt	favorite
favörlig	favorable
fe	fairy
feber	fever
feberaktig	feverish
februar	February
federasjon	federation
fedreland	fatherland
fejl	error
fejl	mistake (n)
fejl, defekt	fault
fejla	fail
fejla	err
fejla	fail
fejlad	failed
fejlaktig	mistaken (adj)
fejlfri, perfekt	faultless
feld	field
feldar	fields
felle/fella	trap (n/v)
feltseng	camp-bed
fem	Five
feminin	feminine
femte	fifth
femti	fifty
femton	Fifteen
femtonte	fifteenth
fender	fender
fengsel	jail
ferd, rejse	journey
ferdig	finished
ferie, heligdag	holiday
ferje	ferry
fermenta	ferment
fernisse/fernissa	varnish (n/v)
fersken	peach
fertilisera	fertilize
fertiliserer	fertilizer
fest	feast
festa	fasten
festener	fastener
festival	festival
festlig	festive
festning	fortress
fet/fett	fat (a/n)
fetiliserer, gödsel	manure
fetme	fatness
fett/smöra	grease (n/v)
fettet	greasy
fettholdig	fatty
fi!	shame!
fiasko	Failure
fiber	fiber
fiend	enemy
fig	Fig
figur	figure
figurar	figures
fik/a	slap (n/v)
fiksjon	fiction
file	rag
filipiner	Filipino
filla	fill
fillad	filled
fillning	filling (n)
film	movie
film/a	film (n/v)
filmavis	newsreel
filosof	philosopher
filosofi	philosophy
filter	filter
fin (adj)/böd/a (n,v)	fine (a/v)
fina	finds
fina	find
finad	found
final, endelig	final
finalig, endelig	finally
finansar	finances
finansiera	finance (v)
finansjel	fiscal
finansjel	financial
fingerar	fingers
fingeravtrukk	fingerprint
fingerborg	thimble
finhaka	mince
finke	finch
Finland	Finland
finlander	Finn
finsk	Finnish
fint!	okay!
fir	Four
firmar	companies
firmar	firms
firte	fourth
firti	forty
firton	fourteen
firton dagar	fortnight
firtonte	fourteenth
fisiker	physicist
fisiologi	physiology
fisisk	physical
fisk/a	fish (n/v)
fiskebejn	fishbone
fisker	fisherman
fiulla möblar	upholster
fiulning	stuffing
fjeder	feather
fjederkre	poultry
fjeldal	glen
fjer	spring (n, mech)
fjern	far-off
fjern	far
fjern	faraway
fjernest	furthest
fju	few
flagg	flag
flamingo	flamingo
flamme	flame
flanell	flannel
flaske	bottle
flaske	flask
flaskehals	bottleneck
flass	dandruff
flat	flat
flek	blot
flek/a	stain (n/v)
flek/sted	spot (n)
flekad	spotted (adj)
flekfri	spotless
flekfri	stainless
flekk	speck
flera	several
flia	flee
fliga	fly (v)
fligtur, fligning	flight
flintstejn	flint
fliugfelt	airfield
fliuglinja	airline
fliugverdinne	stewardess
fliuta	float
fliutande	fluent
fliutande	fluid
flod	River
flod/a	flood (n/v)
flodbred	river bank
flodbred	riverside
flok	herd
flokk	flock (n)
florissa	flourish (v)
florister	florist
flote	navy
flote	fleet (n)
flote	raft
flöute	flute
flue	fly (n)
flurisj	flourish (n)
foa, reseva	receive
foa/bli	GETS
foa/blia	GET
foad, obtenerad	obtained
foad, resevad	received
foad/bliad	got (act/pass)
foajé	foyer
foande	getting
föda, mat	food
födad	born
foder	lining
födsel	birth
födsel	childbirth
födselsdag	birthday
fogel	fowl
fogelar	Birds
fogelhandler	poulterer
föla	feel
fölad/filt	felt (v/n)
fold, rinke/rinka	crease
folda/fold	fold (v/n)
fölga	FOLLOWS
fölga	follow
fölgad	followed
fölgande	following
fölgande	subsequent
folie	tinfoil
föling, kensle	feeling
fölingar, kenslar	feelings
fölinglös	numb
folk	folk
folk	people
folkedans	folk-dance
folkevise	folksong
folklore	folklore
fond	FUND
fondar	funds
fonetisk	phonetic
fopengar/underhol	allowance
for	for
for de mest	mostly
for...sidan	ago
forakta	despise
foran	AHEAD
forandra	alter
forandra/forandring	change (v/n)
forandrad	changed
forandring, alterasjon	alteration
forandringar	changes
förat	because
forbetra	improve
forbetrad	IMPROVED
forbetring	improvement
forbida	forbid
forbinda	join
forbindad	joined
forbipaserande	passer-by
forbruker	consumer
forbrutt/a	forfeit (n/v)
forbund	League
forbunds	federal
fordampa, evapora	evaporate
fordel	advantage
fordelaktig	advantageous
fordervad	stale
före	before
före, tidligare	before (adv)
foreldrar	parents
forell	trout
forena	unite
forenad	United
Forenad Statar	United States
forenadlig	jointly
Förenta Statar/os	US
Forentar Nasjonar	UN
förer	Leader
förerar	leaders
förerskap, lederskap	leadership
forfader	ancestor
forfallen	dilapidated
forfallen	overdue
forfalsa	fake (v)
forfalsa	falsify
forfalska	forge (v)
forfalska/falsk	counterfeit v/a
forfölga	pursue
forfölga	chase
forfriska	refresh
forfriskning	refreshment
forgasser	carburetor
forgilt	gilt (a)
forgoande	preceding
forgoande, previös	previous
forgrunn	foreground
forhandla	negotiate
forhandling	negotiation
forhands	beforehand
forhandsbetalad	prepaid
forheksa	bewitch
forhenvarande	former
forhöd	forehead
forhöja	raise
forhöjad	raised
forklara	explain
forklarad	explained
forklaring	explanation
forkledning/forkleda sej	disguise (n/v)
forkorta	shorten
forkortning	abbreviation
förkrigs-	pre-war
forlanga/anklaga/ladning	charge
forlangad	charged
forlata/permisjon	leave
forlatande	leaving
forlegga	mislay
forlenga	lengthen
förlora	lose
förlorad	lost
förloring	loss
forlovad/optatt	engaged
forlovede	fiancé/e
forlovning/forpliktning	engagement
form/a	shape
form/forma	form
formad	formed
formalitet	formality
forman	chairman
formann	foreman
formar	forms
formell	formal
formiddagsmat, lunsj	lunch
formiunder	guardian
förmögen	wealthy
formörkning	eclipse
formula	formula
forniua	renew
fornöud	contented
fornuftig	sensible
foror, vor	spring (season)
fororsakad	caused
forplikta	oblige
forpliktant	obliging (a)
forreder, trejtor	traitor
forrederi	treason
forret	hors-d'oeuvre
forretnings senter	shopping center
forsamling	assembly
forsejl	foresail
forserad	forced
forsida	front
forsikra	assure
forsikring	insurance
forsiktig	cautious
forsiktig	careful
forsiktig	carefully
forsiktighet	caution
forsina/forsining	supply (v/n)
forsjuna/möblera	furnish
forskreka	frighten
forskrekad	frightened
forskrekelig	frightful
forsök/a, pröva	attempt
forsöka	try
forsökad/prövad	tried
forsökande/prövande	trying
forsökning	research
forsomna sej	oversleep
forstad	suburb
forstads	suburban
förste	first
förste etasje	ground floor
Förste Mosebok	Genesis
förstehelp	first-aid
försteklass	first-class
försteklass	first-rate
forstira	disturb
forstiring	disturbance
forstiring	unrest
forstman	forester
forstoa	understand
forstoad	understood
forstoand	wits
forstoing	understanding
forstoppad	constipated
forstoppning	constipation
forstörra	enlarge
forstörring	enlargement
forstua/forstuing	sprain (v/n)
forsvar, defense	defense
forsvinna	vanish
fort	Fort
fort	fort
fort-körande	speeding (adj)
fort-köring	speeding (n)
forta sej/forte	hurry (v/n)
fortak	undertaking
fortaka	undertake
fortau	sidewalk
fortelling	story
fortellingar	stories
fortid/fortids	past
fortredd	mischief
fortredlig	mischievous
fortsetta	proceed
fortunad, liuklig	fortunate
fortunatt, gusjebnisk	lucky
fortune, liuke	fortune
fortvilad	desperate
forum	forum
forveksla	mistake (v)
forverv	acquisition
forvundra	amaze
forvundring	amazement
fot	foot
fotar	feet
fotball	football
fotballkamp	football game
fotbol	soccer
fotbrems	foot-brake
fotganger	pedestrian
fotganger-overgang	crosswalk
fotograf	photo
fotograf/fotografera	photograph (n/v)
fotografer	photographer
fotografi	photography
fotokopi	photocopy
fotspesjalist	chiropodist
föudal	feudal
foul	ugly
fragment	fragment
frak	coat
fraksjon	fraction
framför,för	before (prep)
framgoande	successful
frankad	postpaid
Frans	France
fransjise	franchise
fransk	French
fransk	French
franskman	Frenchman
fransman	Frenchman
frase	phrase
frase-bok	phrasebook
frasjill	fragile
frata	deprive of
fraude	fraud
fred	Peace
fredag	Friday
fredelig	peaceful
frekvens	frequency
frekventlig	frequently
frem	forth
frem	forward
frembringa	generate
fremed	strange
fremling, ukenad personn	stranger
fremover	onwards
fremst	foremost
fremstoande	distinguished
fri/gratis	free
fria	release (v)
frihet	freedom
frihet	liberty
frijöring	emancipation
frijsa	freeze
frijsa punkt	freezing point
frijsad, frosen (lit)	frozen
frikenande	acquittal
friksjon	friction
frikt/frikta	fear (n/v)
frikta/frikt	dread (v/n)
friktelig	dreadful
frimerka, stempla	stamp (v)
frimerke	postage stamp
frimerke, stempel	stamp (n)
frinsje	fringe
frisering	hair-do
frisk	Fresh
frisör	barber
frisör	hairdresser
fritid	leisure
frö	seed
froga	ASK
froga/froga ut	question (v)
frogad	asked
frogande	asking
frogar	questions
frogar/problemar	issues
fröken	Miss
frokost	breakfast
fron, ifron	from
frontlius	headlight
frosk	frog
frost	frost
frue	mistress (title)
frukt	fruit
fruktbar	fertile
frukthage	orchard
fruktlös	vain
fruktsaft/kriusja	squash (n/v)
fuktig/het	damp
fulblods-	thoroughbred
fulenda	accomplish
full	Full
fullig	fully
fulstendig/iutra	utter (adj/v)
fundamental	fundamental
fundasjon	foundation
funklende	sparkling
funksjon/a	function (n/v)
furiöse	furious
furo	groove
futur, fremtid/fremtidig	future (n/a)
gafel	fork
gafel/dela sej	fork (n/v)
gal, sinnsiuk/sint	mad
gal, sinnsjuk, tukig	crazy
galge	gallows
galle	gall (n)
galle	bile
galle blere	gall bladder
galleri	gallery
gallestejn	gallstone
galopp/galopa	gallop (n/v)
galumfera	galumph (v)
gam	vulture
gamal	ancient
gangart	gait
gange, tempo	pace
gangvej	footpath
ganska, rettare	rather
ganske/prefera	rather (adv/v)
garanter	guarantor
garantij	guarantee
garasje	garage
garderob/kledskap	wardrobe
garderobe	cloakroom
garn	yarn
garten, hage	garden
gartner	gardener
gas	GAS
gase	gauze
gastar	guests
gasterum	guest-room
gatar	Roads
gatar	streets
gate	street
gate, vej	road
gatekruss	crossroads
gave, presang	gift
gavl	gable
geant	giant
gebiss	false teeth
gejtebuk, gejt	goat
gelender	rail (n)
gelender	railing
generasjon	generation
generator	generator
genesis	genesis
geografi	geography
geografisk leksikon	gazetteer
geologi	geology
geometri	geometry
gespa	yawn
gestikulera	gesticulate
geverr	rifle
geverr	gun
gevir	antlers
gifta sej	marry
giftad	married
gifte, mariasj	marriage
gigabajt	gigabyte
gigla/e	giggle (v/n)
gikt	gout
gilia	shelter (v)
gimnastikk	gymnastics
gimnastikker	gymnast
gimnastikksal	gymnasium
ginekolog	gynecologist
gir	gear
gis/na	guess
gitarr	guitar
giva	gives
giva	give
givad	gave
givad	given
givande	giving
gjelle	gill
glad	joyful
glad	cheerful
glad, liuklig	happy
glamorös	glamorous
glas	Glass
glasera	glaze (v)
glat	slippery
glat, even, smul	smooth
gleda sej	rejoice
glede	gladness
glede	delight
glede, fröjde	joy
gledsom	delightful
glema	forget
glemsom	forgetful
glia	glide
glia	slide (v)
glia	skid
glia	slip (v)
glidefli	glider
glidning	slide (n)
glim	splendor
glimer/glimera/hurtstela	flash (n/v/v)
glimrande	splendid
glimt	glimpse
glis/a	grin (n/v)
global	global
globus	globe
glöda/glöd	glow (v/n)
glori	glory
gloriös	glorious
gnia	rub
gnist	spark
go	go
go fottur	hike
goa	goes
goa in	enter
goa ned	descend
goa om bord	embark
goa over	cross
goad	went
goad in	entered
goande	going
gods tog	freight train
golf	golf
golf, vik	gulf
golfbane	golf-links
golfbane	golf-course
golfkölle	golf-club
gondol	gondola
gong	aisle
gord	yard
gorm/a	rant (n/v)
gos	goose
gosehud	gooseflesh
gosj/ukonvenjent	awkward
gra	Gray
grad	degree
grad, klase	grade (n)
gradera/klasifisera	grade (v)
gradient	gradient
gradua/graduad	graduate (v/n)
graduell	gradual
grafisk	graphic
grahund	greyhound
gram	gram
gramatikk	grammar
gramatisk	grammatical
grammofon	record player
gran	fir tree
granatkaster	mortar (weapon)
grand	grand
granitt	granite
grapefrukt	grapefruit
gras, iunde	grace
grasiös	graceful
gratis	gratis
gratulera	congratulate
gratulerar	congratulations
grav	tomb
grav/seriös	grave (n/a)
grava	dig
gravera	engrave
gravering	engravering
gravid	pregnant
gravitet	gravity
gravlund	cemetery
gravstejn	gravestone
gravsten	tombstone
grea/kam	comb (v/n)
grekisk/grek	Greek
Grekland	Greece
gren	bough
gren	branch
grense	border
grense	boundary
grense	frontier
gress	grass
gresshoppe	grasshopper
gressplen	lawn
greve	earl
grevinne	countess
grevskap	County
grill/grilla	grill (n/v)
gripa	seize
gripa/grep	grip (v/n)
gripa/grep	grasp (v/n)
gripad	caught
gripbar	tangible
gris	pig
grisk	avaricious
grisk	greedy
grod	greed
gröft	ditch
grön	Green
grönhus	greenhouse
grönsak	vegetable
grönsakar	greens
grönsakhandler	greengrocer
gros/brutto	gross (a)
groshandel	wholesale
gross	gross (n)
grota	weep
grota/skrika	cry
grotte	cave
grotte	grotto
grov	coarse
grov/total/gross (144)	gross
grund	ground
grundar	grounds
grundlig	thorough
grunlegande	basic
grunn-low, konstitusjon	constitution
grunnar	grounds
grup	group
grupar	groups
grupera	classify
grus	grit
grus	gravel
grusom	cruel
gruvarbejter	miner
gruve	pit
gruve	mine (n)
gruvedrift	mining
gu-troande	credulous
Gud	God
gud, bra	good
gudfar	godfather
gudine	goddess
gudinne	goddess
guide	guide
guidehund	guidedog
gul	yellow
guliunt	good-humored
gull	gold
gullen	golden
gullgruve	goldmine
gullsmed	jeweler
gullsmed	goldsmith
gulsot	jaundice
gulv/etasje	floor/storey
gumi	gum
gummi	rubber
gumudig	good-natured
gumudig	good-tempered
gurgla	gargle
gurmej	gourmet
gutt	lad
guvernör	governor
guvilje	goodwill
habitable	habitable
habitat	habitat
habite	habit
habituell	habitual
hagl	hail (n)
haika	hitchhike
haiker	hitchhiker
hake	chin
hakka/kotelett	chop
hakke	pick-axe
hall	hall
hallo	hello
hals	neck
hals-nakke	nape of neck
halsbond	collar
halsbran	heartburn
halskejde	necklace
halv	half
halv-	semi-
halv-vejs	halfway
halvera	halve
halvsirkel	semicircle
halvtid	half-time
hammer	hammer
hamp	hemp
han	him
han	He
han er	he's
han havad/han skul	he'd
han-	male (a)
hand	hand
hand-brems	hand-brake
handar	hands
handarbejt	needlework
handbok	handbook
handduk	towel
handel	business
handel/handla, biuta	trade
handelsforbid	embargo
handelsman	tradesman
handelsman, biuter	trader
handful	handful
handjern	handcuffs
handkrem	hand cream
handla/handling, akt	act
handlabag	shopping bag
handlagad	hand-made
handled	wrist
handling/jöring	deed
handskrift	handwriting
handverk	handicraft
handveske	handbag
hane	cock
hans	his
hanske	glove
hantruk	handshake
har	hair
harbörste	hairbrush
hard-hödad, obstinat	obstinate
hard/svor, difikult	hard (1/2)
hare	hare
haret	hairy
harklip	haircut
harlakk	hair spray
harmful, skadelig	harmful
harmlös, uskadelig	harmless
harmoni	harmony
harnett	hairnet
harolje	hair-oil
harpe	harp
hartörker	hair-dryer
hasselnöt	hazelnut
hast	haste
hastighet, farten	speed
hastímeter	speedometer
hat	hatred
hata/hat	hate (v/n)
hatt	Hat
haug	pile
haug	heap
haug	mound
hauk	hawk
hav	ocean
hava	has
hava (irreg 1)	have
havad	had
havad ike	hadn't
havande	having
haven	haven
havfrue	mermaid
havn	harbor
havn	port
havn	seaport
havnarbejter	docker
havre	oats
hebraisk	Hebrew
hebreisk	Hebrew
hede/upvarma	heat
hedensk/hedning	pagan (a/n)
hedning/hedensk	heathen (n/a)
hefta	staple (v)
heftaparatt	stapler
heftklamer, stapelvara	staple (n)
heftstift	thumbtack
hegre	heron
hei	heath
heisa/heise	hoist (v/n)
hejl	heel
hejs	elevator
hekk	hedge
hel	whole
hel, komplet	entire
hela	heal
helbreda/kur	cure (v/n)
helgen	St
helgen	saint
helgensjrin	shrine
helig	holy
helig	holy
helig, sakrad	sacred
heligbröde	sacrilege
hella	pour
helm	helmet
help, asistans	assistance
help/a	aid
helpa	assist
helpa/help	help (v/n)
helpad	helped
helper	helper
helpsom	helpful
helsa	salute (v)
helsa	greet
helse	Health
helsesam	wholesome
helsig	healthy
helsning	greeting
helt	quite
helt	hero
helt	altogether
helt	wholly
helt, kompletlig	entirely
helvede	hell
helvete	hell
hem	home
hemar	homes
hemelagad	home-made
hemlengsel	homesickness
hemoroidar	hemorrhoids
hemoroidar	piles
henda, sjea	happen
henda, sjea	occur
hendad, sjead	occurred
hendad, sjead	happened
hendelse	happening
hendelse, sjening	occurrence
hendig	handy
henförad	rapt
henföring	rapture
henga	hang
hengad	hung
hengbro	suspension bridge
hengeköue	hammock
hengelos	padlock
henger	hanger
hengover	hangover
hengsel	hinge
hengslar	suspenders
henta, innbringa	fetch
her	here
herberge	hostel
herder	shepherd
hereditarig	hereditary
herefter	henceforth
herr	mister
herre	gentleman
herre-ekvipering	haberdashery
hertelig	cordial
hertug	duke
hertugine	duchess
hes	hoarse
hesita	hesitate
hest	horse
hest-redik	horseradish
hestar	horses
hesteg	stirrup
hestekraft	horsepower
hestesjo	horseshoe
het, varm	hot
hetbalje	hot tub
heteroseksuell	heterosexual
hette	hood
hexe	witch
hierarki	hierarchy
hikke	hiccup
himel	heaven
himel	sky
hindra	hinder
hindra	impede
hindring	obstacle
hindring	impediment
hisig	hot-tempered
hisig	quick-tempered
historie	history
historiker	historian
historisk	historic
historisk	historical
hiugiene	hygiene
hiugienisk	hygienic
hiukler	hypocrite
hiukleri	hypocrisy
hiuklersk	hypocritical
hiule	shelf
hiulest	homage
hiumne	hymn
hiuresgast	tenant
hiusterisk	hysterical
hjerte	heart
hjerte-klapp	palpitation
hjertelig	hearty
hjertelös	heartless
hobby	hobby
hobe/hoba	hope (n/v)
höd	head
höd-	main (a)
höd-, storsta	main
höd-kvarter	headquarters
hödland	headland
hödledning	mains
hödsaklig	mainly
hödtorment	headache
hödvej, hödgata	thoroughfare
hofte	hip (n)
hofte/hip	hip (n/a)
hofteholder	girdle
hög, long	tall
högland	uplands
högt	aloud
höide	height
höj	hay
höj	high
höjare	higher
höjare	upper
höjarskola	college
höjast	HIGHEST
höjde	altitude
höjfeber	hayfever
höjlig	highly
höjvaten	high tide
hokkey	hockey
Holand	Holland
holda	hold
holda	keep
holda fölge med	keep up with
holda sej borte fron	keep away from
holdad	held
holdad	kept
holdande	keeping
holding	holding
hölja	enfold
Holland	Holland
hollander, nederlander	Dutchman
hollandsk, nederlandsk	Dutch
homosexuell, gej	homosexual
hon	She
hon havad/hon skul	she'd
hon-	female
höne	hen
honing	honey
honor/honora	honor (n/v)
honorable	honorable
honorar, gebiur	fee
hons	her
hopeful	hopeful
hoplös	hopeless
hoplöshet	despair
hopp	leap (n)
hopp/a, sprenga	jump (n/v)
hoppa	leap (v)
hoppa	hop (v)
hoppa over	skip
hoppe	mare
höra	hear
hörad	heard
hörbar	audible
hore	whore
höring	hearing
horisont	horizon
horisontal	horizontal
horn	horn
hörne	corner
horrible	horrible
horror	horror
hospitable	hospitable
hospital	Hospital
hospital	hospital
hospitalitet	hospitality
höst	autumn
hostasj	hostage
hostill	hostile
hot	threat
hota	threaten
hotell	Hotel
höure	right-hand
höutaler	loudspeaker
hov	hoof
hövding	chieftain
hovmester	headwaiter
hovmodig	haughty
hud	skin
hul	hollow
hule	cavern
hull	hole
hulrum	cavity
humid	humid
humiditet	humidity
humilitet	humility
humle	hops (n)
hummer	lobster
humor	humor
humorös	humorous
humörr	mood
humörr	temper (n)
humpad	bumpy
hund	dog
hundar	dogs
hundra	hundred
Hungaria	Hungary
Hungarsk	Hungarian
hunger	hunger
hur	how
hurtig	rapid
hurtig	fast
hurtig	rapidly
hurtig(t)	quickly
hurtig, forhastet	hasty
hurtig, snab	fast
hurtig, snab	quick
hus	House
hus-animal	pet (n)
hus-help	maid
hus-help	housemaid
husa/gasthut	lodge (v/n)
husar	houses
husarbejd	housework
husbot	houseboat
husholderske	housekeeper
husholdning	housekeeping
huska, rememora	remember
huska, rememora	recollect
huskad, rememorad	remembered
husmor	housewife
husning	housing
husstand	household
hustru	wife
hutta	cottage
hutte	hut
hvila/hvile, rest	rest (v/n)
hvilehem	rest home
hvilsom	restful
i	in
i de siste, niulig	lately
i melantid	meanwhile
I morgen	tomorrow
i natt, i kvel	tonight
I sista	lately
i sted (av)	Instead (of)
iakta/armkloke	watch
iaktad	watched
iaktande	watching
idag	today
idej	idea
idejal	ideal
idejar	ideas
identifika	identify
identifikasjon	identification
identisk	identical
identitet	identity
identitetskort	identity card
idiom	idiom
idiomatisk	idiomatic
idiot	idiot
idiotisk	idiotic
idol	idol
ignisjon	ignition
ignorera	ignore
igor	yesterday
ijenn	again
ike	not
ike de mindre	Nevertheless
ikon	icon
ild/skjuda	fire
ildig	fiery
ildsted	hearth
ildstik	match (n)
ildstik-eske	matchbox
ileluktande	smelly
illegal	illegal
iluminasjon	illumination
iluminera	illuminate
ilusjon	illusion
ilustrasjon	illustration
ilustrera	illustrate
ilvilig	malicious
imaginari	imaginary
imaginasjon	imagination
imigrant	immigrant
imigrasjon	immigration
imigrera	immigrate
imitasjon	imitation
imitera	imitate
immediad	immediate
immediadt	immediately
imot	towards
impakt	impact
impaundera	impound (v)
imperium	empire
impertinens, frekhet	impertinence
impertinent	impertinent
implement/a	implement (n/v))
impolitt	impolite
impolitt	rude
imponera	impress
imponerande	imposing
imponerande	impressive
import/era	import (n/v)
importans, viktighet	importance
importör	importer
impotens	impotence
impotent	impotent
impresjon	impression
imprisona	imprison
imprisoning	imprisonment
improbabilitet	improbability
improbable	improbable
improvisera	improvise
impuls	impulse
impulsiv	impulsive
imunitet	immunity
imunn	immune
in i	into
inadekvat	inadequate
inakurat	inaccurate
inblandad	involved
indefinitt	indefinite
indeholda, kontejna	contain
indeholdad, kontejnad	contained
indeks	index
indemnitet	indemnity
independens	independence
independent	Independent
India	India
indiferent	indifferent
indigestjon	indigestion
indignasjon	indignation
indikator	indicator
indikera	indicate
indikerad	indicated
indirekte	indirect
individ, enkeltperson	individual (n)
individuelar	individuals
individuell, enkelt	individual (adj)
Indonesien	Indonesia
indonesisisk/indoness	Indonesian
indre	inner
indre	internal
indulgens	indulgence
indulgera	indulge
industri	industry
industriös	industrious
industrisk, industriell	industrial
inebrierad	drunk
inefisjent	inefficient
ineksperienslig, uerfaren inexperienced
inevitable	inevitable
infant, spedbarn	infant
infanteri	infantry
infeksjon	infection
infeksjös	infectious
inferior, dorligare, nedreinferior
infinitiv	infinitive
infirmari	infirmary
infisera	infect
inflamasjon	inflammation
inflammabel	inflammable
inflasjon	inflation
inflatable	inflatable
inflatera	inflate
inflitningsrik	influential
influens/era	influence (n/v)
influensa	influenza
influensa	flu
informasjon	information
informera	notify
informera	inform
informerad	informed
infraksjon	offence (stress2)
infraröd	infrared
ingang	entry
ingang	entrance
ingang klave	latchkey
ingangspengar	entrance-fee
ingefer	ginger
ingen	none
ingen	nobody
ingen	no one
ingen	no (adj)
ingeniör	engineer
ingensteds	nowhere
ingenting	nil
ingenting	Nothing
ingrediens	ingredient
inhabitbar	inhabitable
inhabiter	inhabitant
inhabitera	inhabit
inhala	inhale
inhalasjon	inhalation
inheritans	inheritance
inheritera	inherit
inhold	contents
inisjal	initial
inisjal/a	initial (a,n/v)
inisjativ	initiative
injeksjon	injection
injeksjonsprute	syringe
injekta	inject
inkapable	incapable
inklinad	inclined (a)
inklinasjon	inclination
inkline/a	incline (n/v)
inkludande	including
inkludera	include
inkluderad	included
inklusive	inclusive
inkompetent	incompetent
inkomplet	incomplete
inkomst	income
inkomst-skat	income tax
inkonveniens	inconvenience
inkonvenient	inconvenient
inkorekt	incorrect
inkvira	inquire
inkviring	inquiry
inkvisitiv	inquisitive
inneholstabell	table of contents
innen	indoors (adv)
innendörs	indoor (adj)
innerst	inmost
innover	inwards
innside	inside
innsikt	insight
innsjipning	embarkation
innsjö	lake
innvalid	disabled
inom	within
inordna/reka	file (v)
inpakning	packing
insea	discern
insea/realisera	realize
insead/realiserad	realized
insekt	bug
insekt	insect
insektmiddel	insecticide
insens	incense
insensitiv, ufölsom	insensitive
inserta	insert
insident	incident
insidental	incidental
insignifikant	insignificant
insistera	insist
inskripsjon	inscription
inskriva, registera	register
insolens	insolence
insolent	insolent
insomnia	insomnia
inspeksjon	inspection
inspektör	inspector
inspirera	inspire
inspisera	inspect
instalasjon	installation
instalera	install
instant, öjeblikk/instant instant (n/a)
instantelig, öjeblikkelig instantly
instinkt	instinct
institusjonar	institutions
institutt/institutera	institute (n/v)
instruksjon	instruction
instruktera	instruct
instruktiv	instructive
instruktör	instructor
instrument	instrument
instrument-bord	dashboard
insufisjent	insufficient
insult/era	insult (n/v)
insurans, forsikring	insurance
insurera, forsikra	insure
intakt	intact
intek	earnings
intelekt, forstand	intellect
intelektuell	intellectual
inteligens	intelligence
inteligent	intelligent
inteligent, klok	clever
inteligent, klok	witty
intendent	warden
intendera	intend
intens	intense
intensitet	intensity
intensjon	intention
intensjonell	intentional
intensjonell	deliberate (a)
interesant	interesting
interesar	interests
interese/interesera	interest (n/v)
intereserad	interested
interfera	interfere
interfering	interference
interim/melantid	interim
interior, inside	interior
interkonekta	interconnect
interkurs	intercourse
intermisjon	intermission
internasjonal	international
interpreta	interpret
interpreter	interpreter
interrogasjon	interrogation
interrogera	interrogate
interrupsjon	interruption
interrupta	interrupt
interseksjon	intersection
intervall	interval
intervena	intervene
intervju/a	interview (n/v)
intestine	intestine
intim	intimate (a)
intoksikerad	intoxicated (a)
intrigge	intrigue (n)
introduksjon, presentasjonintroduction
introdusera, presentera	introduce
invadera	invade
invalid	invalid (n)
invasjon	invasion
invensjon	invention
inventer	inventor
inventera	invent
inventiv	inventive
inventorie	inventory
inverta	invert
invertad	upside-down
investera	invest
investering	investment
investigga	investigate
invisible	invisible
invitasjon	invitation
invitera	invite
involvera	involve
iordna/samling/fil/a	file
Irak	Iraq
irakisk/irakier	Iraqi
Iran	Iran
iransk/iranier	Iranian
irasible	irascible
iritera	annoy
iriterande	annoying
iritering	annoyance
Irland	Ireland
irlender	Irishman
irlendsk	Irish
ironi	irony
ironisk	ironical
irregular	irregular
irreparable	irreparable
irrevokable	irrevocable
irritabel	irritable
irritera	irritate
is-kold	freezing
isbre	glacier
iser	especially
iskrem	icecream
islam	Islam
islamisk	Islamic
Island	Iceland
Islending	Icelander
Islendsk	Icelandic
isolasjon	insulation
isolasjon	isolation
isolator	insulator
isolera	insulate
isolera	isolate
ispose	icebag
Italien	Italy
italiensk/italiener	Italian
item	item
itinerant	itinerant
itinerari, reiserute	itinerary
iulle-	woolen
iutersta	utmost
iver	zeal
ivrig	eager
ivrig	zealous
ivrig, urolig	anxious
ja	Yes
jade	jade
jakke	jacket
jakt/a	hunt (n/v)
jamre/jamra	moan (n/v)
janitor	janitor
januar	January
Japan	Japan
japansk/japaner	Japanese
jazz	jazz
je	I
je er	am
je er	I'm
je ha	I've
je havad/je skul	I'd
je skal	I'll
jeans	jeans
jede	pike
jejer	hunter
jekk	jack (n)
jeld	debt
jema	hide (v)
jenforena	reunite
jenom	through
jenomblöta, blöta	soak
jenombora	pierce
jenomljusig	translucent
jenomsnit, averasj	average
jenomsnitlig	medium (a)
jer sjelvar	yourselves
jern	iron
jernvarar	hardware
jernveg, jernbane	railroad
jernveg, jernbane	railway
jernverk	ironworks
jersej	jersey
jest	yeast
jeting	wasp
jevn	even
jius	shudder
jo, sandelig, virkelig	Indeed
job	job
jobar	jobs
jobig	hard work (adj)
jod	iodine
jöde	jew
jödisk	jewish
jödisk	Jewish
jokkey	jockey
jolle	dinghy
jöra	does
jöra	do
jöra distinksjon	distinguish
jöra ike	doesn't
jöra ike/jör ike	don't
jöra imunn	immunize
jöra tjik	thicken
jöra vund, skada	hurt (vt)
jörad	made
jörad	did
jörad	done
jörad ike	didn't
jörande	doing
jörbar	doable
jord	earth
jord, grunn	ground
jord-, landbruks-	agrarian
jord/sojla	soil (n/v)
Jordanien	Jordan
jordansk/jordanier	Jordanian
jordber	strawberry
jordbruk, agrikultur	agriculture
jordmor	midwife
